0.026,0.086,0.26,0.304,0.318,0.199,R2
0.033,0.087,0.263,0.31,0.323,0.213,R2
0.034,0.454,0.264,0.348,0.107,0.329,R1
0.041,0.091,0.272,0.311,0.327,0.219,R2
0.042,0.028,0.173,0.307,0.1,0.145,R4
0.042,0.093,0.272,0.318,0.332,0.225,R2
0.045,0.039,0.174,0.318,0.11,0.153,R4
0.045,0.453,0.267,0.343,0.107,0.34,R1
0.049,0.045,0.175,0.326,0.116,0.158,R4
0.049,0.455,0.275,0.349,0.116,0.342,R1
0.053,0.054,0.18,0.328,0.123,0.165,R4
0.054,0.049,0.185,0.345,0.124,0.164,R4
0.055,0.096,0.289,0.327,0.336,0.222,R2
0.056,0.46,0.281,0.352,0.119,0.35,R1
0.057,0.465,0.275,0.362,0.136,0.344,R1
0.083,0.084,0.287,0.276,0.143,0.388,R1R2R3
0.085,0.0,0.195,0.135,0.005,0.141,R2
0.087,0.198,0.37,0.152,0.144,0.42,R0
0.087,0.2,0.172,0.163,0.195,0.195,R0
0.089,0.0,0.199,0.134,0.014,0.154,R2
0.089,0.09,0.298,0.271,0.163,0.389,R1R2R3
0.089,0.094,0.106,0.095,0.179,0.272,R0
0.091,0.12,0.303,0.16,0.094,0.221,R0
0.092,0.145,0.068,0.073,0.017,0.077,R0
0.092,0.2,0.37,0.158,0.154,0.413,R0
0.093,0.155,0.074,0.089,0.016,0.072,R0
0.094,0.231,0.438,0.254,0.401,0.222,R0
0.094,0.248,0.441,0.255,0.418,0.232,R0
0.095,0.173,0.237,0.268,0.371,0.205,R0
0.097,0.094,0.121,0.103,0.182,0.287,R0
0.098,0.0,0.2,0.14,0.023,0.158,R2
0.098,0.091,0.3,0.279,0.163,0.395,R1R2R3
0.098,0.159,0.075,0.093,0.023,0.079,R0
0.098,0.17,0.249,0.27,0.371,0.202,R0
0.098,0.205,0.375,0.163,0.163,0.421,R0
0.098,0.25,0.45,0.256,0.419,0.237,R0
0.099,0.122,0.267,0.266,0.312,0.176,R0
0.1,0.099,0.31,0.297,0.166,0.412,R1R2R3
0.1,0.101,0.301,0.283,0.167,0.4,R1R2R3
0.101,0.125,0.256,0.247,0.308,0.186,R0
0.102,0.003,0.219,0.154,0.041,0.161,R2
0.102,0.098,0.125,0.103,0.183,0.288,R0
0.102,0.169,0.08,0.103,0.027,0.087,R0
0.102,0.213,0.378,0.17,0.167,0.429,R0
0.103,0.206,0.182,0.163,0.2,0.194,R0
0.103,0.216,0.185,0.166,0.204,0.196,R0
0.104,0.22,0.199,0.18,0.219,0.206,R0
0.104,0.256,0.456,0.263,0.428,0.238,R0
0.105,0.118,0.299,0.158,0.101,0.23,R0
0.105,0.426,0.191,0.128,0.166,0.37,R0
0.106,0.121,0.306,0.164,0.106,0.232,R0
0.106,0.127,0.275,0.266,0.313,0.186,R0
0.106,0.424,0.185,0.12,0.165,0.361,R0
0.107,0.008,0.204,0.15,0.032,0.159,R2
0.107,0.173,0.25,0.279,0.374,0.211,R0
0.107,0.223,0.186,0.17,0.212,0.202,R0
0.107,0.433,0.2,0.132,0.167,0.375,R0
0.108,0.124,0.306,0.166,0.11,0.237,R0
0.108,0.264,0.459,0.264,0.435,0.253,R0
0.109,0.137,0.279,0.274,0.321,0.192,R0
0.11,0.107,0.126,0.111,0.185,0.291,R0
0.11,0.176,0.077,0.093,0.033,0.097,R0
0.11,0.212,0.377,0.174,0.172,0.428,R0
0.111,0.175,0.262,0.299,0.375,0.213,R0
0.111,0.179,0.257,0.285,0.375,0.219,R0
0.114,0.435,0.208,0.133,0.169,0.385,R0
0.115,0.103,0.144,0.11,0.196,0.304,R0
0.115,0.128,0.326,0.171,0.113,0.251,R0
0.117,0.177,0.219,0.341,0.463,0.234,R0
0.118,0.174,0.225,0.334,0.454,0.236,R0
0.118,0.24,0.191,0.325,0.161,0.118,R0
0.119,0.137,0.277,0.283,0.314,0.194,R0
0.12,0.038,0.115,0.097,0.123,0.172,R0
0.122,0.017,0.19,0.102,0.105,0.183,R0
0.122,0.028,0.119,0.096,0.12,0.168,R0
0.122,0.182,0.225,0.349,0.465,0.237,R0
0.122,0.446,0.21,0.132,0.18,0.393,R0
0.123,0.184,0.231,0.354,0.468,0.245,R0
0.124,0.097,0.225,0.166,0.306,0.115,R0
0.125,0.104,0.26,0.219,0.092,0.156,R0
0.125,0.211,0.119,0.236,0.098,0.22,R0
0.126,0.114,0.221,0.173,0.319,0.122,R0
0.126,0.2,0.117,0.231,0.099,0.223,R0
0.127,0.042,0.125,0.106,0.124,0.181,R0
0.127,0.115,0.225,0.176,0.325,0.124,R0
0.128,0.122,0.228,0.184,0.327,0.126,R0
0.129,0.05,0.126,0.107,0.134,0.189,R0
0.129,0.112,0.268,0.209,0.098,0.164,R0
0.13,0.019,0.192,0.098,0.115,0.203,R0
0.131,0.025,0.2,0.107,0.125,0.203,R0
0.132,0.116,0.233,0.178,0.327,0.133,R0
0.133,0.216,0.125,0.237,0.104,0.228,R0
0.134,0.025,0.209,0.112,0.129,0.212,R0
0.134,0.041,0.214,0.12,0.127,0.207,R0
0.134,0.219,0.135,0.24,0.11,0.232,R0
0.134,0.238,0.198,0.324,0.157,0.128,R0
0.134,0.246,0.2,0.329,0.163,0.137,R0
0.135,0.014,0.217,0.349,0.46,0.151,R1R2
0.135,0.121,0.275,0.219,0.103,0.166,R0
0.137,0.254,0.209,0.339,0.166,0.142,R0
0.138,0.197,0.234,0.352,0.472,0.256,R0
0.139,0.122,0.284,0.221,0.105,0.172,R0
0.14,0.013,0.238,0.222,0.313,0.17,R0
0.14,0.231,0.144,0.25,0.114,0.233,R0
0.142,0.057,0.137,0.114,0.126,0.188,R0
0.143,0.1,0.267,0.191,0.311,0.23,R0
0.144,0.015,0.22,0.341,0.457,0.152,R1R2
0.144,0.078,0.245,0.16,0.209,0.166,R0
0.144,0.136,0.294,0.222,0.113,0.171,R0
0.144,0.395,0.249,0.262,0.17,0.301,R0
0.145,0.093,0.26,0.186,0.302,0.227,R0
0.145,0.135,0.175,0.251,0.296,0.209,R0
0.146,0.023,0.225,0.349,0.465,0.158,R1R2
0.146,0.245,0.112,0.124,0.208,0.316,R3
0.147,0.016,0.242,0.232,0.322,0.182,R0
0.147,0.121,0.178,0.248,0.298,0.205,R0
0.147,0.265,0.22,0.343,0.177,0.145,R0
0.149,0.211,0.205,0.193,0.124,0.129,R0
0.149,0.376,0.164,0.211,0.127,0.279,R3
0.15,0.256,0.122,0.124,0.207,0.314,R3
0.151,0.069,0.241,0.166,0.206,0.159,R0
0.151,0.213,0.113,0.141,0.14,0.2,R0
0.151,0.388,0.246,0.27,0.167,0.308,R0
0.152,0.031,0.227,0.357,0.467,0.168,R1R2
0.152,0.106,0.275,0.195,0.315,0.236,R0
0.152,0.137,0.185,0.261,0.304,0.216,R0
0.153,0.026,0.25,0.237,0.328,0.183,R0
0.153,0.079,0.25,0.168,0.217,0.166,R0
0.153,0.258,0.125,0.132,0.217,0.322,R3
0.154,0.395,0.165,0.207,0.124,0.288,R3
